Match Date,Kick Off Time,Home Team,HGoals,Away Team,AGoals
2006-09-17,20:00:00.000,Racing Santander,0,Barcelona,3
2007-03-17,20:00:00.000,Recreativo Huelva,0,Barcelona,4
2006-09-30,22:00:00.000,Athletic Bilbao,1,Barcelona,3
2007-05-20,21:00:00.000,Atlético Madrid,0,Barcelona,6
2006-11-04,22:00:00.000,Deportivo La Coruna,1,Barcelona,1
2007-03-31,22:00:00.000,Barcelona,2,Deportivo La Coruna,1
2007-04-07,20:00:00.000,Real Zaragoza,1,Barcelona,0
2019-03-17,20:45:00.000,Real Betis,1,Barcelona,4
2019-03-02,20:45:00.000,Real Madrid,0,Barcelona,1
2019-03-09,18:30:00.000,Barcelona,3,Rayo Vallecano,1
2019-01-13,18:30:00.000,Barcelona,3,Eibar,0
2019-01-27,16:15:00.000,Girona,0,Barcelona,2
2019-04-20,20:45:00.000,Barcelona,2,Real Sociedad,1
2018-12-08,20:45:00.000,Espanyol,0,Barcelona,4
2019-02-02,18:30:00.000,Barcelona,2,Valencia,2
2019-05-19,16:15:00.000,Eibar,2,Barcelona,2
2019-04-23,21:30:00.000,Deportivo Alavés,0,Barcelona,2
2019-04-27,20:45:00.000,Barcelona,1,Levante,0
2019-02-23,16:15:00.000,Sevilla,2,Barcelona,4
2018-09-02,18:30:00.000,Barcelona,8,Huesca,2
2018-08-18,22:15:00.000,Barcelona,3,Deportivo Alavés,0
2018-08-25,22:15:00.000,Real Valladolid,0,Barcelona,1
2018-11-11,16:15:00.000,Barcelona,3,Real Betis,4
2018-10-07,20:45:00.000,Valencia,1,Barcelona,1
2018-12-02,18:30:00.000,Barcelona,2,Villarreal,0
2018-09-29,16:15:00.000,Barcelona,1,Athletic Bilbao,1
2019-01-20,20:45:00.000,Barcelona,3,Leganés,1
2018-12-22,18:30:00.000,Barcelona,2,Celta Vigo,0
2019-04-02,21:30:00.000,Villarreal,4,Barcelona,4
2018-12-16,20:45:00.000,Levante,0,Barcelona,5
2019-02-10,20:45:00.000,Athletic Bilbao,0,Barcelona,0
2019-01-06,20:45:00.000,Getafe,1,Barcelona,2
2019-02-16,20:45:00.000,Barcelona,1,Real Valladolid,0
2018-09-15,16:15:00.000,Real Sociedad,1,Barcelona,2
2018-11-24,20:45:00.000,Atlético Madrid,1,Barcelona,1
2018-09-26,20:00:00.000,Leganés,2,Barcelona,1
2018-10-20,20:45:00.000,Barcelona,4,Sevilla,2
2019-05-12,18:30:00.000,Barcelona,2,Getafe,0
2018-09-23,20:45:00.000,Barcelona,2,Girona,2
2019-04-06,20:45:00.000,Barcelona,2,Atlético Madrid,0
2019-03-30,16:15:00.000,Barcelona,2,Espanyol,0
2007-10-20,20:00:00.000,Villarreal,3,Barcelona,1
2007-11-01,22:00:00.000,Real Valladolid,1,Barcelona,1
2007-12-01,22:00:00.000,Espanyol,1,Barcelona,1
2008-03-01,20:00:00.000,Atlético Madrid,4,Barcelona,2
2008-04-12,22:00:00.000,Recreativo Huelva,2,Barcelona,2
2008-04-19,20:00:00.000,Barcelona,0,Espanyol,0
2008-05-11,21:00:00.000,Barcelona,2,Mallorca,3
2008-02-09,22:00:00.000,Sevilla,1,Barcelona,1
2007-09-29,22:00:00.000,Levante,1,Barcelona,4
2007-11-04,19:00:00.000,Barcelona,3,Real Betis,0
2007-10-28,19:00:00.000,Barcelona,2,Almería,0
2007-09-02,19:00:00.000,Barcelona,3,Athletic Bilbao,1
2007-12-09,21:00:00.000,Barcelona,2,Deportivo La Coruna,1
2008-02-24,19:00:00.000,Barcelona,5,Levante,1
2008-05-07,22:00:00.000,Real Madrid,4,Barcelona,1
2008-05-04,19:00:00.000,Barcelona,6,Valencia,0
2007-12-15,22:00:00.000,Valencia,0,Barcelona,3
2007-09-22,22:00:00.000,Barcelona,2,Sevilla,1
2008-01-20,21:00:00.000,Barcelona,1,Racing Santander,0
2008-02-03,19:00:00.000,Barcelona,1,Osasuna,0
2007-08-26,19:00:00.000,Racing Santander,0,Barcelona,0
2007-11-10,20:00:00.000,Getafe,2,Barcelona,0
2008-05-17,22:00:00.000,Real Murcia,3,Barcelona,5
2008-01-27,19:00:00.000,Athletic Bilbao,1,Barcelona,1
2008-02-16,22:00:00.000,Real Zaragoza,1,Barcelona,2
2007-09-26,22:00:00.000,Barcelona,4,Real Zaragoza,1
2007-10-07,17:00:00.000,Barcelona,3,Atlético Madrid,0
2007-11-24,20:00:00.000,Barcelona,3,Recreativo Huelva,0
2008-12-21,19:00:00.000,Villarreal,1,Barcelona,2
2008-09-21,21:00:00.000,Sporting Gijón,1,Barcelona,6
2009-02-21,20:00:00.000,Barcelona,1,Espanyol,2
2009-03-22,19:00:00.000,Barcelona,6,Málaga,0
2008-08-31,19:00:00.000,Numancia,1,Barcelona,0
2008-12-06,22:00:00.000,Barcelona,4,Valencia,0
2008-11-29,22:00:00.000,Sevilla,0,Barcelona,3
2009-03-15,21:03:00.000,Almería,0,Barcelona,2
2009-01-17,20:00:00.000,Barcelona,5,Deportivo La Coruna,0
2009-03-01,19:00:00.000,Atlético Madrid,4,Barcelona,3
2009-01-24,22:00:00.000,Barcelona,4,Numancia,1
2009-02-14,20:00:00.000,Real Betis,2,Barcelona,2
2008-12-13,22:00:00.000,Barcelona,2,Real Madrid,0
2008-11-01,20:00:00.000,Málaga,1,Barcelona,4
2008-09-13,20:00:00.000,Barcelona,1,Racing Santander,1
